Counter,Date/time,Latitude,Longitude,Elevation
352,2022-04-18 23:00:26.614436,-2.009581354122376,-100.64017832690489,420.0055889601966
353,2022-04-18 23:00:41.529463,-2.7690945312188404,-100.10428857164293,420.15692886332886
354,2022-04-18 23:00:56.387564,-3.5253624818507774,-99.56971582370518,420.31309223797996
355,2022-04-18 23:01:11.266671,-4.282268597389673,-99.03344982608132,420.47481191696977
356,2022-04-18 23:01:26.169575,-5.03987332714383,-98.49517123947652,420.6420699717217
357,2022-04-18 23:01:41.404331,-5.813726078231285,-97.94349309264574,420.8184297654737
358,2022-04-18 23:01:56.272247,-6.568241140932952,-97.40351169782582,420.9956938557904
359,2022-04-18 23:02:11.159371,-7.32294996750814,-96.86104377551182,421.1781913380761
360,2022-04-18 23:02:26.012017,-8.075041101482036,-96.3178359942113,421.3651557055103
361,2022-04-18 23:02:40.938901,-8.82991419946107,-95.76969513718312,421.55786475889477
362,2022-04-18 23:02:55.798732,-9.580352507502505,-95.22157488776624,421.75438980223765
363,2022-04-18 23:03:11.068792,-10.350318984930503,-94.6555584252969,421.96107943642176
364,2022-04-18 23:03:25.977211,-11.100783897615345,-94.10002050543409,422.1673774172149
365,2022-04-18 23:03:40.844379,-11.847841153877667,-93.54290442049972,422.3774055578539
366,2022-04-18 23:03:55.680365,-12.591904896042028,-92.98363203788425,422.59113625171733
367,2022-04-18 23:04:10.516604,-13.334441259288344,-92.42081198413173,422.808861938394
368,2022-04-18 23:04:25.789124,-14.097135954338013,-91.83747227679662,423.0370140608256
369,2022-04-18 23:04:40.618699,-14.835945765472408,-91.26698103136476,423.26228868073576
370,2022-04-18 23:04:55.541637,-15.57756384609116,-90.68859185994225,423.4925443281334
371,2022-04-18 23:05:10.407893,-16.314406932626582,-90.10786902857812,423.7253096243853
372,2022-04-18 23:05:25.252077,-17.048123101301442,-89.52322749166336,423.96093816183947
373,2022-04-18 23:05:40.160633,-17.782840956606353,-88.93100674304543,424.20063289545806
374,2022-04-18 23:05:55.034913,-18.513577548234345,-88.33485255536857,424.4426368480618
375,2022-04-18 23:06:09.947525,-19.243792277102358,-87.73157997987168,424.6879509384987
376,2022-04-18 23:06:25.211821,-19.988613813374158,-87.10800582523765,424.94164020080166
377,2022-04-18 23:06:40.068814,-20.710891690057306,-86.49489478108701,425.19087842203453
378,2022-04-18 23:06:55.268121,-21.446939531412752,-85.86107429085855,425.44801474385696
379,2022-04-18 23:07:10.536577,-22.18327987967859,-85.21735949553562,425.70830431483074
380,2022-04-18 23:07:25.443999,-22.89913782688344,-84.58176910744292,425.96415440044734
381,2022-04-18 23:07:40.285356,-23.6086454216814,-83.94175721749403,426.2203366644502
